x_uk	x_O0C_rate	합계 : PP_wTx	합계 : PP_cnt_plus 	합계 : PP_cnt_minus 	합계 : PR_sum_rate	합계 : PR_cnt_rate	 score 
2795-2805	0.01-0.02	0.64	2	0	#DIV/0!	#DIV/0!	#DIV/0!
2795-2805	0.03-0.04	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2795-2805	0.09-0.1	0.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2805-2815	0.23-0.24	4.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2815-2825	0.03-0.04	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2815-2825	0.06-0.07	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2825-2835	0.05-0.06	0.99	2	0	#DIV/0!	#DIV/0!	#DIV/0!
2835-2845	0.01-0.02	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2855-2865	0.04-0.05	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2865-2875	0.02-0.03	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2865-2875	0.03-0.04	1.64	2	0	#DIV/0!	#DIV/0!	#DIV/0!
2865-2875	0.08-0.09	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2865-2875	0.11-0.12	0.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2865-2875	0.18-0.19	4.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2875-2885	0.04-0.05	0.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2895-2905	0.01-0.02	2.61	3	0	#DIV/0!	#DIV/0!	#DIV/0!
2905-2915	0.01-0.02	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2915-2925	0.01-0.02	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2915-2925	0.02-0.03	5.19	2	0	#DIV/0!	#DIV/0!	#DIV/0!
2915-2925	0.16-0.17	6.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2925-2935	0.03-0.04	0.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2925-2935	0.05-0.06	1.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2935-2945	0.02-0.03	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2935-2945	0.08-0.09	1.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2945-2955	0.04-0.05	0.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2945-2955	0.12-0.13	3.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2955-2965	0.01-0.02	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2955-2965	0.04-0.05	0.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2955-2965	0.06-0.07	1.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2955-2965	0.09-0.1	3.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2965-2975	0.03-0.04	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2965-2975	0.04-0.05	15.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2975-2985	0.02-0.03	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2995-3005	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2995-3005	0.03-0.04	2.24	2	0	#DIV/0!	#DIV/0!	#DIV/0!
2995-3005	0.06-0.07	0.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2995-3005	0.08-0.09	7.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
2995-3005	0.24-0.25	5.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3005-3015	0.09-0.1	9.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3015-3025	0.05-0.06	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3025-3035	0.01-0.02	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3025-3035	0.22-0.23	6.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3035-3045	0.01-0.02	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3035-3045	0.03-0.04	2.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3045-3055	0.02-0.03	7.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3045-3055	0.13-0.14	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3055-3065	0.05-0.06	3.24	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3055-3065	0.06-0.07	2.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3055-3065	0.19-0.2	3.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3055-3065	0.2-0.21	1.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3065-3075	0.01-0.02	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3065-3075	0.02-0.03	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3085-3095	0.04-0.05	1.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3085-3095	0.11-0.12	1.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3095-3105	0.03-0.04	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3095-3105	0.08-0.09	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3095-3105	0.11-0.12	4.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3105-3115	0.02-0.03	1.54	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3105-3115	0.13-0.14	2.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3105-3115	0.15-0.16	3.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3115-3125	0.01-0.02	0.79	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3115-3125	0.12-0.13	1.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3115-3125	0.22-0.23	8.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3125-3135	0.06-0.07	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3135-3145	0.02-0.03	0.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3135-3145	>0.3	3.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3145-3155	0.21-0.22	5.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3155-3165	0.01-0.02	1.24	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3155-3165	0.03-0.04	0.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3155-3165	0.16-0.17	1.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3165-3175	0.18-0.19	6.54	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3175-3185	0.01-0.02	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3175-3185	0.09-0.1	0.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3185-3195	0.01-0.02	0.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3185-3195	0.19-0.2	23.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3225-3235	0.03-0.04	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3225-3235	0.12-0.13	2.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3235-3245	0.06-0.07	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3235-3245	0.07-0.08	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3235-3245	0.08-0.09	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3245-3255	0.01-0.02	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3245-3255	0.04-0.05	0.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3245-3255	0.11-0.12	10.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3285-3295	0.01-0.02	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3285-3295	0.02-0.03	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3295-3305	0.02-0.03	0.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3295-3305	0.07-0.08	5.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3305-3315	0.01-0.02	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3325-3335	0.02-0.03	2.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3335-3345	0.02-0.03	2.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3335-3345	0.05-0.06	2.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3335-3345	0.06-0.07	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3335-3345	0.09-0.1	0.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3345-3355	0.02-0.03	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3345-3355	0.05-0.06	3.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3365-3375	0.1-0.11	0.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3375-3385	0.05-0.06	1.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3385-3395	0.24-0.25	5.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3395-3405	0.08-0.09	2.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3405-3415	0.02-0.03	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3405-3415	0.03-0.04	3.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3435-3445	0.02-0.03	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3435-3445	0.09-0.1	1.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3435-3445	0.11-0.12	4.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3445-3455	0.2-0.21	6.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3455-3465	0.06-0.07	1.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3455-3465	0.11-0.12	0.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3465-3475	0.26-0.27	6.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3475-3485	0.12-0.13	8.79	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3475-3485	0.22-0.23	6.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3475-3485	0.23-0.24	4.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3485-3495	0.04-0.05	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3525-3535	0.01-0.02	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3525-3535	0.02-0.03	3.99	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3545-3555	0.12-0.13	3.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3595-3605	0.01-0.02	1.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3595-3605	0.04-0.05	0.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3605-3615	0.26-0.27	6.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3615-3625	0.23-0.24	24.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3635-3645	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3635-3645	0.04-0.05	3.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3645-3655	0.05-0.06	2.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3645-3655	0.22-0.23	9.39	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3655-3665	0.02-0.03	2.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3665-3675	0.02-0.03	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3685-3695	0.01-0.02	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3685-3695	0.05-0.06	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3685-3695	0.12-0.13	2.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3685-3695	0.15-0.16	3.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3695-3705	0.14-0.15	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3695-3705	0.16-0.17	4.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3715-3725	0.03-0.04	2.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3725-3735	0.03-0.04	2.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3725-3735	0.04-0.05	0.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3725-3735	0.16-0.17	0.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3735-3745	0.02-0.03	1.99	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3735-3745	0.05-0.06	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3735-3745	0.06-0.07	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3735-3745	0.09-0.1	1.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3755-3765	0.01-0.02	0.84	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3765-3775	0.05-0.06	1.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3775-3785	0.04-0.05	0.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3785-3795	0.17-0.18	7.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3795-3805	0.22-0.23	2.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3805-3815	0.08-0.09	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3825-3835	0.01-0.02	1.94	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3835-3845	0.03-0.04	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3855-3865	0.09-0.1	1.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3875-3885	0.01-0.02	1.14	2	0	#DIV/0!	#DIV/0!	#DIV/0!
3885-3895	0.02-0.03	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3885-3895	0.07-0.08	2.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3895-3905	0.01-0.02	3.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3915-3925	0.01-0.02	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3925-3935	0.24-0.25	5.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3935-3945	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3965-3975	0.01-0.02	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3965-3975	0.1-0.11	1.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3985-3995	0.01-0.02	4.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
3985-3995	0.02-0.03	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4025-4035	0.03-0.04	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4025-4035	0.15-0.16	0.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4025-4035	0.17-0.18	3.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4035-4045	0.04-0.05	2.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4035-4045	0.14-0.15	6.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4045-4055	0.18-0.19	6.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4045-4055	0.23-0.24	4.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4055-4065	0.04-0.05	1.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4085-4095	0.06-0.07	4.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4095-4105	0.17-0.18	2.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4105-4115	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4125-4135	0.04-0.05	5.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4145-4155	0.05-0.06	0.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4155-4165	0.03-0.04	1.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4185-4195	0.01-0.02	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4185-4195	0.13-0.14	3.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4195-4205	0.08-0.09	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4245-4255	0.01-0.02	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4245-4255	0.04-0.05	1.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4245-4255	0.09-0.1	2.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4255-4265	0.01-0.02	1.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4265-4275	0.02-0.03	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4275-4285	0.03-0.04	2.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4285-4295	0.01-0.02	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4315-4325	0.02-0.03	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4315-4325	0.03-0.04	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4325-4335	0.01-0.02	1.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4325-4335	0.03-0.04	2.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4335-4345	0.13-0.14	5.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4365-4375	0.01-0.02	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4365-4375	0.03-0.04	0.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4385-4395	0.01-0.02	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4405-4415	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4405-4415	0.05-0.06	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4425-4435	0.08-0.09	2.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4435-4445	0.02-0.03	3.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4435-4445	0.04-0.05	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4455-4465	0.02-0.03	5.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4475-4485	0.2-0.21	4.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4495-4505	0.01-0.02	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4505-4515	0.04-0.05	0.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4505-4515	0.26-0.27	2.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4535-4545	0.01-0.02	0.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4535-4545	0.03-0.04	5.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4545-4555	0.01-0.02	1.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4575-4585	0.02-0.03	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4605-4615	0.04-0.05	3.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4615-4625	0.03-0.04	1.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4645-4655	0.02-0.03	1.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4655-4665	0.02-0.03	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4665-4675	0.01-0.02	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4665-4675	0.13-0.14	1.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4685-4695	0.26-0.27	4.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4695-4705	0.01-0.02	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4695-4705	0.16-0.17	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4705-4715	0.02-0.03	1.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4725-4735	0.01-0.02	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4735-4745	0.04-0.05	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4745-4755	0.05-0.06	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4745-4755	0.26-0.27	6.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4755-4765	0.02-0.03	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4765-4775	0.1-0.11	0.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4775-4785	0.04-0.05	1.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4795-4805	0.03-0.04	1.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4805-4815	0.02-0.03	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4835-4845	0.01-0.02	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4865-4875	0.05-0.06	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4905-4915	0.01-0.02	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4905-4915	0.24-0.25	5.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4915-4925	0.07-0.08	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4945-4955	0.02-0.03	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4965-4975	0.2-0.21	4.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
4985-4995	0.02-0.03	2.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5005-5015	0.03-0.04	5.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5025-5035	0.02-0.03	1.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5035-5045	0.03-0.04	0.42	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5065-5075	0.01-0.02	2.09	2	0	#DIV/0!	#DIV/0!	#DIV/0!
5065-5075	0.06-0.07	1.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5075-5085	0.06-0.07	1.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5115-5125	0.09-0.1	0.82	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5125-5135	0.15-0.16	3.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5135-5145	0.02-0.03	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5165-5175	0.02-0.03	0.57	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5205-5215	0.06-0.07	3.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5255-5265	0.02-0.03	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5255-5265	0.24-0.25	8.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5265-5275	0.02-0.03	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5285-5295	0.19-0.2	3.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5295-5305	0.01-0.02	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5315-5325	0.16-0.17	5.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5335-5345	0.05-0.06	2.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5345-5355	0.17-0.18	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5355-5365	0.05-0.06	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5365-5375	0.01-0.02	0.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5415-5425	0.13-0.14	1.32	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5455-5465	0.08-0.09	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5525-5535	0.01-0.02	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5525-5535	0.06-0.07	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5545-5555	0.17-0.18	0.02	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5565-5575	0.05-0.06	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5605-5615	0.01-0.02	2.64	2	0	#DIV/0!	#DIV/0!	#DIV/0!
5605-5615	0.02-0.03	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5625-5635	0.06-0.07	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5705-5715	0.02-0.03	1.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5735-5745	0.02-0.03	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5795-5805	0.16-0.17	1.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5815-5825	0.01-0.02	0.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5845-5855	0.03-0.04	16.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5855-5865	0.01-0.02	4.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5945-5955	0.07-0.08	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5945-5955	0.09-0.1	1.72	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5975-5985	0.15-0.16	2.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6005-6015	0.01-0.02	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6015-6025	0.02-0.03	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6055-6065	0.09-0.1	1.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6065-6075	0.02-0.03	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6065-6075	0.03-0.04	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6095-6105	0.08-0.09	4.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6155-6165	0.14-0.15	1.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6165-6175	0.01-0.02	0.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6175-6185	0.07-0.08	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6185-6195	0.06-0.07	0.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6195-6205	0.06-0.07	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6225-6235	0.04-0.05	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6235-6245	0.03-0.04	0.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6245-6255	0.02-0.03	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6265-6275	0.01-0.02	0.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6385-6395	0.02-0.03	1.07	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6385-6395	0.04-0.05	1.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6385-6395	0.16-0.17	2.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6455-6465	0.03-0.04	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6525-6535	0.03-0.04	2.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6545-6555	0.02-0.03	9.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6575-6585	0.01-0.02	0.37	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6605-6615	0.09-0.1	0.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6625-6635	0.1-0.11	3.52	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6635-6645	0.03-0.04	0.67	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6665-6675	0.18-0.19	1.62	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6705-6715	0.04-0.05	3.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6745-6755	0.04-0.05	1.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6825-6835	0.09-0.1	2.22	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6905-6915	0.02-0.03	0.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
6905-6915	0.07-0.08	0.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
